,top,name,tier,position,winRate,pickRate,banRate
159,160,Pantheon,4,MID,50.23,2.51,0.78
160,161,Zed,4,TOP,50.21,0.60,1.87
161,162,Heimerdinger,4,TOP,50.11,0.85,0.53
162,163,Nami,4,SUPPORT,50.08,2.51,0.17
163,164,Mordekaiser,4,TOP,50.07,3.34,1.36
164,165,Rell,4,SUPPORT,49.76,2.59,1.45
165,166,Morgana,4,MID,49.73,0.91,1.44
166,167,Shen,4,TOP,49.70,1.39,0.10
167,168,Kennen,4,TOP,49.70,1.81,0.60
168,169,Jayce,4,MID,49.64,2.78,0.85
169,170,Kalista,4,ADC,49.54,3.44,1.67
170,171,Gnar,4,TOP,49.51,2.32,0.54
171,172,Sion,4,TOP,49.36,1.80,0.17
172,173,Karma,4,SUPPORT,49.28,4.94,1.64
173,174,Aphelios,4,ADC,49.21,4.07,0.82
174,175,Ryze,4,MID,49.21,1.47,0.25
175,176,Gwen,4,TOP,49.14,3.06,0.97
176,177,Zoe,4,MID,49.14,1.67,0.48
177,178,Riven,4,TOP,49.10,3.64,0.53
178,179,Gangplank,4,TOP,49.09,2.87,1.92
179,180,Ashe,4,SUPPORT,49.08,5.49,2.46
180,181,Lux,4,MID,49.08,2.59,2.07
181,182,Draven,4,ADC,49.06,2.45,1.63
182,183,Jayce,4,TOP,49.04,5.59,1.73
183,184,Tristana,4,ADC,49.03,3.32,0.65
184,185,Gragas,4,JUNGLE,48.97,2.24,0.29
185,186,Tryndamere,4,TOP,48.78,2.41,1.40
186,187,Renekton,4,TOP,48.56,3.44,2.78
187,188,Lulu,4,SUPPORT,48.52,4.84,0.94
188,189,Kindred,4,JUNGLE,48.39,2.43,0.88
189,190,LeBlanc,4,MID,48.36,5.53,12.92
190,191,Nunu & Willump,4,JUNGLE,48.24,2.23,0.47
191,192,Seraphine,4,SUPPORT,48.07,2.88,0.24
192,193,Azir,4,MID,47.62,3.60,0.73
193,194,Akali,4,TOP,47.61,3.77,3.50
194,195,Nidalee,4,JUNGLE,47.59,4.91,2.38
195,196,Yuumi,4,SUPPORT,46.89,5.38,2.27
196,197,Twitch,5,SUPPORT,50.25,0.79,0.24
197,198,Galio,5,SUPPORT,50.07,0.57,0.09
198,199,Ryze,5,TOP,49.83,0.56,0.10
199,200,Nunu & Willump,5,MID,49.82,0.56,0.12
200,201,Shen,5,SUPPORT,49.77,0.50,0.04
201,202,Rengar,5,TOP,49.74,0.85,0.20
202,203,Gwen,5,JUNGLE,49.68,0.51,0.16
203,204,Tahm Kench,5,SUPPORT,49.62,0.83,0.18
204,205,Ziggs,5,MID,48.81,0.61,0.71
205,206,Udyr,5,JUNGLE,48.79,0.93,0.16
206,207,Ziggs,5,SUPPORT,48.73,0.69,0.81
207,208,Pantheon,5,TOP,48.70,1.52,0.47
208,209,Cho'Gath,5,TOP,48.70,1.01,0.06
209,210,Nasus,5,MID,48.53,0.50,0.34
210,211,Rumble,5,JUNGLE,48.44,0.78,0.38
211,212,Volibear,5,JUNGLE,48.20,0.55,0.17
212,213,Qiyana,5,MID,48.04,0.96,0.11
213,214,Wukong,5,JUNGLE,48.03,1.53,0.15
214,215,Vladimir,5,TOP,47.96,0.73,0.16
215,216,Pantheon,5,SUPPORT,47.53,2.11,0.65
216,217,Veigar,5,SUPPORT,47.46,1.04,0.19
217,218,Pantheon,5,JUNGLE,47.34,0.62,0.19
218,219,Rengar,5,JUNGLE,47.34,0.79,0.19
219,220,Shaco,5,TOP,47.33,0.60,3.25
220,221,Rumble,5,TOP,47.01,2.66,1.30
221,222,K'Sante,5,TOP,46.99,3.28,2.95
222,223,Yasuo,5,TOP,46.98,2.52,2.85
223,224,Gragas,5,TOP,46.88,0.52,0.07
224,225,Hecarim,5,JUNGLE,46.87,1.97,0.28
225,226,Zed,5,JUNGLE,46.39,0.66,2.05
226,227,Malphite,5,SUPPORT,46.33,1.18,1.08
227,228,Zeri,5,ADC,46.33,2.21,0.35
228,229,Miss Fortune,5,SUPPORT,45.44,2.65,0.59
229,230,Kalista,5,TOP,44.37,0.66,0.32
230,231,Hwei,5,SUPPORT,41.70,2.87,6.29
231,232,Hwei,5,MID,41.50,6.28,13.87
