,top,name,tier,position,winRate,pickRate,banRate
206,207,Nidalee,4,JUNGLE,48.13,5.52,3.01
207,208,Pantheon,4,SUPPORT,48.02,1.99,0.54
208,209,K'Sante,4,TOP,47.73,3.63,3.16
209,210,Yasuo,4,TOP,47.50,2.26,2.58
210,211,Yuumi,4,SUPPORT,47.30,5.23,2.00
211,212,Ziggs,5,SUPPORT,49.28,0.58,0.78
212,213,Gwen,5,JUNGLE,48.54,0.53,0.15
213,214,Rengar,5,JUNGLE,48.27,0.81,0.18
214,215,Tahm Kench,5,SUPPORT,48.03,0.74,0.13
215,216,Hecarim,5,JUNGLE,48.02,2.21,0.29
216,217,Wukong,5,JUNGLE,47.82,1.47,0.12
217,218,Gragas,5,TOP,47.34,0.64,0.08
218,219,Zed,5,JUNGLE,47.19,0.62,1.84
219,220,Ziggs,5,MID,47.04,0.54,0.78
220,221,Pantheon,5,JUNGLE,47.00,0.51,0.14
221,222,Veigar,5,SUPPORT,46.75,0.78,0.11
222,223,Zeri,5,ADC,46.47,2.38,0.32
223,224,Kalista,5,TOP,45.70,0.57,0.30
224,225,Malphite,5,SUPPORT,44.63,0.71,0.71
225,226,Miss Fortune,5,SUPPORT,43.91,1.79,0.29
226,227,Hwei,5,SUPPORT,41.37,2.71,6.53
227,228,Hwei,5,MID,41.27,6.76,17.19
