championName,bestDuo1,bestDuo2,bestDuo3,bestDuo4,bestDuo5,bestDuo6
Yone,"['Rumble', '52.8%', 'Jungle']","['Rammus', '52.4%', 'Jungle']","['Gwen', '52.3%', 'Jungle']","['Morgana', '51.8%', 'Jungle']","['Fiddlesticks', '51.6%', 'Jungle']","['Zac', '51.4%', 'Jungle']"
Master Yi,"['Zac', '62.2%', 'Top']","[""Cho'Gath"", '57.9%', 'Mid']","['Swain', '57.7%', 'Mid']","['Udyr', '57.0%', 'Top']","['Vex', '56.9%', 'Mid']","['Varus', '56.8%', 'Top']"
Nocturne,"['Kennen', '60.3%', 'Mid']","['Udyr', '59.1%', 'Top']","['Gangplank', '58.1%', 'Mid']","['Anivia', '58.0%', 'Mid']","['Poppy', '57.1%', 'Top']","['Quinn', '57.0%', 'Top']"
Zyra,"['Vayne', '56.0%', 'Bot']","['Jhin', '55.2%', 'Bot']","['Seraphine', '55.2%', 'Bot']","['Tristana', '54.6%', 'Bot']","['Ezreal', '54.1%', 'Bot']","['Sivir', '53.7%', 'Bot']"
Maokai,"['Akshan', '58.5%', 'Mid']","['Aurelion Sol', '57.7%', 'Mid']","['Kassadin', '57.4%', 'Mid']","['Urgot', '57.4%', 'Top']","['Singed', '56.7%', 'Top']","['Taliyah', '56.1%', 'Mid']"
Xin Zhao,"['Vex', '61.3%', 'Mid']","['Shen', '57.4%', 'Top']","['Katarina', '56.5%', 'Mid']","['Akshan', '56.3%', 'Mid']","['Singed', '56.0%', 'Top']","['Neeko', '55.7%', 'Mid']"
Twisted Fate,"[""Rek'Sai"", '57.3%', 'Jungle']","['Taliyah', '55.0%', 'Jungle']","['Xin Zhao', '54.8%', 'Jungle']","['Talon', '54.3%', 'Jungle']","['Kindred', '54.2%', 'Jungle']","['Brand', '54.1%', 'Jungle']"
Akali,"['Fiddlesticks', '54.1%', 'Jungle']","['Ivern', '53.1%', 'Jungle']","['Nocturne', '52.9%', 'Jungle']","['Rammus', '52.8%', 'Jungle']","['Gragas', '52.5%', 'Jungle']","['Trundle', '52.5%', 'Jungle']"
Ziggs,"['Rell', '62.0%', 'Support']","['Zilean', '59.0%', 'Support']","['Soraka', '57.4%', 'Support']","['Bard', '55.8%', 'Support']","['Twitch', '55.7%', 'Support']","['Rakan', '55.1%', 'Support']"
Sylas,"['Ivern', '57.2%', 'Jungle']","['Taliyah', '56.5%', 'Jungle']","['Skarner', '56.2%', 'Jungle']","['Gwen', '55.6%', 'Jungle']","[""Rek'Sai"", '55.3%', 'Jungle']","['Volibear', '55.2%', 'Jungle']"
