championName,bestDuo1,bestDuo2,bestDuo3,bestDuo4,bestDuo5,bestDuo6
Teemo,"['Vayne', '58.3%']","['Poppy', '57.1%']","['Illaoi', '54.2%']","['Volibear', '54.2%']","['Camille', '53.7%']","['Tryndamere', '53.5%']"
Sejuani,"['Shyvana', '58.1%']","['Vi', '52.4%']","['Xin Zhao', '52.3%']","['Elise', '51.8%']","['Udyr', '51.6%']","['Nidalee', '50.7%']"
Naafiri,"['Hwei', '65.8%']","['Ryze', '62.6%']","['LeBlanc', '61.5%']","['Zoe', '57.2%']","['Malzahar', '55.6%']","['Veigar', '55.4%']"
Renata Glasc,"['Hwei', '64.4%']","['Maokai', '56.9%']","['Shaco', '54.0%']","['Nautilus', '53.6%']","['Rell', '53.1%']","[""Vel'Koz"", '52.8%']"
Morgana,"['Hwei', '63.2%']","['Nautilus', '55.3%']","['Alistar', '54.4%']","['Swain', '54.3%']","['Bard', '53.3%']","['Thresh', '53.2%']"
Cho'Gath,"['Yasuo', '57.6%']","['Pantheon', '57.0%']","['Vladimir', '56.3%']","['Urgot', '55.6%']","['Malphite', '54.8%']","['Riven', '54.3%']"
Warwick,"[""Rek'Sai"", '54.2%']","['Trundle', '53.6%']","['Lee Sin', '52.8%']","['Nunu & Willump', '52.6%']","['Udyr', '51.9%']","['Kindred', '51.5%']"
Nautilus,"['Hwei', '66.6%']","['Yuumi', '56.7%']","['Ashe', '55.3%']","['Karma', '54.4%']","['Pantheon', '52.1%']","['Lulu', '51.8%']"
Thresh,"['Hwei', '64.9%']","['Yuumi', '54.6%']","['Pantheon', '54.1%']","['Tahm Kench', '53.3%']","[""Vel'Koz"", '52.7%']","['Ashe', '52.5%']"
Xayah,"['Samira', '53.2%']","[""Kai'Sa"", '52.5%']","['Zeri', '51.5%']","['Aphelios', '51.3%']","['Tristana', '50.7%']","['Sivir', '50.4%']"
Graves,"['Wukong', '54.7%']","['Amumu', '53.4%']","['Brand', '52.6%']","['Vi', '52.4%']","['Shaco', '52.4%']","['Elise', '52.4%']"
Evelynn,"['Jax', '57.1%']","['Wukong', '56.3%']","['Gragas', '55.7%']","['Diana', '55.6%']","['Elise', '55.6%']","['Karthus', '55.5%']"
Tahm Kench,"[""Cho'Gath"", '57.3%']","['Rumble', '57.1%']","['Jayce', '56.3%']","['Nasus', '56.2%']","['Malphite', '55.9%']","['Teemo', '55.3%']"
Corki,"[""Cho'Gath"", '65.4%']","['Hwei', '63.3%']","['Galio', '53.3%']","['Orianna', '53.3%']","['Twisted Fate', '52.8%']","['Irelia', '52.8%']"
Brand,"['Sejuani', '55.8%']","['Sylas', '55.3%']","['Amumu', '55.1%']","['Warwick', '55.0%']","['Shyvana', '54.2%']","['Wukong', '54.2%']"
Kayle,"['Volibear', '58.8%']","['Gangplank', '57.2%']","['Kennen', '56.7%']","['Yorick', '56.2%']","['Yasuo', '56.0%']","['Shen', '55.6%']"
Tryndamere,"['Irelia', '56.9%']","['Dr. Mundo', '56.5%']","['Yorick', '56.1%']","['Rumble', '55.9%']","['Kennen', '55.6%']","['Kayle', '54.9%']"
Quinn,"['Gragas', '58.3%']","['Trundle', '57.3%']","['Renekton', '57.1%']","['Riven', '56.6%']","['Volibear', '56.5%']","['Tryndamere', '56.5%']"
Viktor,"['Hwei', '65.1%']","['Annie', '59.1%']","['Qiyana', '55.5%']","['Ziggs', '55.4%']","['Azir', '54.4%']","['Malzahar', '53.3%']"
Camille,"['Yorick', '59.0%']","['Garen', '56.9%']","['Jayce', '54.8%']","['Rumble', '54.7%']","['Yone', '54.4%']","['Dr. Mundo', '54.3%']"
Yuumi,"['Hwei', '65.5%']","['Pantheon', '54.0%']","['Karma', '53.7%']","['Swain', '53.1%']","['Ashe', '53.1%']","['Morgana', '52.4%']"
Kai'Sa,"['Ziggs', '50.4%']","['Caitlyn', '50.2%']","['Aphelios', '50.2%']","['Tristana', '50.0%']","['Jhin', '49.7%']","['Sivir', '49.5%']"
Janna,"['Hwei', '69.3%']","['Shaco', '57.1%']","['Swain', '55.4%']","['Twitch', '55.3%']","['Morgana', '55.2%']","['Sylas', '55.0%']"
Kassadin,"['Hwei', '66.3%']","[""Vel'Koz"", '62.7%']","['Zoe', '56.9%']","['Neeko', '56.8%']","['Twisted Fate', '56.6%']","['LeBlanc', '55.8%']"
Darius,"['Yasuo', '55.1%']","['Irelia', '53.5%']","[""Cho'Gath"", '53.4%']","['Shen', '53.4%']","['Sion', '53.3%']","['Renekton', '53.2%']"
Zilean,"['Hwei', '64.3%']","['Sona', '55.3%']","['Seraphine', '54.3%']","['Ashe', '54.2%']","['Neeko', '53.9%']","['Renata Glasc', '53.7%']"
Ryze,"['Hwei', '61.7%']","['Swain', '56.6%']","['Galio', '55.6%']","['Ziggs', '54.3%']","['Azir', '54.2%']","[""Vel'Koz"", '54.2%']"
Rakan,"['Hwei', '68.4%']","['Yuumi', '56.4%']","['Pantheon', '56.3%']","['Twitch', '55.2%']","['Seraphine', '54.7%']","['Nautilus', '54.6%']"
Blitzcrank,"['Hwei', '69.3%']","['Karma', '55.1%']","['Milio', '55.0%']","['Swain', '54.8%']","['Lux', '54.5%']","['Ashe', '54.4%']"
Kindred,"['Shyvana', '57.6%']","['Diana', '54.7%']","['Sylas', '53.9%']","['Brand', '53.9%']","['Maokai', '53.8%']","['Hecarim', '53.4%']"
Irelia,"['Yorick', '59.1%']","['Jayce', '56.0%']","['Dr. Mundo', '55.6%']","['Gragas', '55.3%']","['Varus', '55.2%']","['Rumble', '54.5%']"
Vi,"['Udyr', '56.4%']","['Xin Zhao', '54.8%']","['Wukong', '53.4%']","['Diana', '52.8%']","['Nunu & Willump', '52.0%']","['Kayn', '51.8%']"
Trundle,"['Varus', '57.1%']","['Irelia', '57.0%']","['Yorick', '56.4%']","['Dr. Mundo', '56.0%']","['Kennen', '55.6%']","[""Cho'Gath"", '55.3%']"
Lissandra,"['Hwei', '64.1%']","['Diana', '55.8%']","['Irelia', '54.6%']","['Yone', '54.2%']","['LeBlanc', '54.0%']","['Naafiri', '54.0%']"
Sivir,"['Yasuo', '54.1%']","['Zeri', '53.7%']","['Nilah', '52.5%']","[""Kai'Sa"", '51.7%']","[""Kog'Maw"", '50.9%']","['Caitlyn', '50.7%']"
Rumble,"[""Cho'Gath"", '54.9%']","['Vladimir', '54.8%']","['Volibear', '54.6%']","['Vayne', '53.8%']","['Renekton', '53.6%']","['Zac', '53.4%']"
Gnar,"['Yorick', '56.1%']","['Gragas', '55.1%']","['Volibear', '54.7%']","['Yone', '54.2%']","['Pantheon', '54.0%']","['Trundle', '54.0%']"
Vel'Koz,"['Hwei', '69.8%']","['Swain', '57.7%']","['Neeko', '57.7%']","['Sylas', '57.4%']","['Rell', '56.6%']","['Ashe', '56.5%']"
Soraka,"['Hwei', '63.9%']","['Twitch', '57.5%']","['Pantheon', '56.7%']","['Swain', '56.0%']","['Alistar', '55.4%']","['Braum', '54.8%']"
Taric,"['Hwei', '71.7%']","['Yuumi', '59.5%']","['Xerath', '57.3%']","['Shaco', '56.5%']","['Leona', '56.5%']","['Tahm Kench', '55.8%']"
Varus,"['Aphelios', '53.1%']","[""Kai'Sa"", '51.8%']","['Sivir', '51.8%']","['Xayah', '51.6%']","[""Kog'Maw"", '51.5%']","['Kalista', '50.8%']"
Nilah,"['Yasuo', '56.7%']","['Samira', '56.2%']","['Twitch', '52.5%']","[""Kai'Sa"", '52.3%']","['Aphelios', '52.3%']","['Tristana', '52.1%']"
Zac,"['Sylas', '56.6%']","['Warwick', '55.8%']","['Xin Zhao', '55.4%']","['Viego', '54.9%']","['Sejuani', '54.6%']","['Diana', '54.6%']"
Milio,"['Hwei', '67.3%']","['Swain', '58.1%']","['Shaco', '57.0%']","['Pantheon', '56.6%']","['Brand', '56.2%']","['Seraphine', '55.2%']"
Zed,"['Hwei', '65.7%']","['Cassiopeia', '54.1%']","['Galio', '53.7%']","['Jayce', '53.4%']","['Naafiri', '52.9%']","['Malzahar', '52.5%']"
Annie,"['Hwei', '65.8%']","['Ziggs', '58.8%']","['Lissandra', '57.6%']","[""Vel'Koz"", '57.4%']","['Akali', '57.1%']","['Pantheon', '57.0%']"
Neeko,"['Hwei', '63.7%']","['Swain', '56.9%']","['Braum', '53.9%']","['Taric', '53.1%']","['Pantheon', '52.5%']","['Heimerdinger', '52.5%']"
Ashe,"['Aphelios', '55.6%']","['Xayah', '55.0%']","['Zeri', '54.1%']","[""Kai'Sa"", '53.7%']","['Miss Fortune', '53.1%']","['Caitlyn', '52.9%']"
Braum,"['Hwei', '65.5%']","['Tahm Kench', '62.6%']","['Pantheon', '59.4%']","['Sylas', '57.7%']","['Yuumi', '57.4%']","['Twitch', '56.8%']"
Anivia,"['Hwei', '66.1%']","['Zoe', '59.0%']","['Ryze', '58.1%']","['Naafiri', '57.8%']","['Yasuo', '56.7%']","['Lissandra', '56.2%']"
Volibear,"['Yorick', '58.6%']","['Yasuo', '58.4%']","['Irelia', '53.0%']","['Gwen', '52.7%']","['Tryndamere', '52.5%']","['Singed', '52.3%']"
Karthus,"['Warwick', '59.2%']","['Wukong', '57.9%']","['Viego', '56.6%']","[""Rek'Sai"", '56.3%']","['Elise', '55.2%']","['Xin Zhao', '55.1%']"
Hecarim,"['Poppy', '53.6%']","['Udyr', '52.7%']","['Sejuani', '52.6%']","['Wukong', '52.4%']","['Shaco', '52.3%']","['Shyvana', '51.9%']"
Rammus,"['Viego', '58.9%']","['Elise', '58.4%']","['Diana', '56.8%']","['Gragas', '56.3%']","['Master Yi', '56.0%']","['Poppy', '55.5%']"
Orianna,"['Hwei', '64.2%']","['Ryze', '53.7%']","['Vladimir', '52.9%']","['Zed', '52.8%']","['Azir', '52.5%']","['Akali', '52.2%']"
Talon,"['Hwei', '68.0%']","['Naafiri', '58.1%']","['Annie', '56.6%']","['Ziggs', '56.3%']","['Azir', '55.6%']","['Aurelion Sol', '55.5%']"
Pantheon,"['Gragas', '57.8%']","['Yasuo', '57.2%']","['Gwen', '54.4%']","['Sett', '53.8%']","['Rengar', '53.7%']","['Yone', '53.6%']"
Urgot,"['Varus', '59.5%']","['Yorick', '58.8%']","['Akali', '57.5%']","['Teemo', '57.2%']","['Warwick', '56.9%']","['Rengar', '56.3%']"
Kha'Zix,"['Shyvana', '55.3%']","['Sylas', '54.8%']","['Sejuani', '53.7%']","['Lillia', '53.4%']","['Wukong', '53.2%']","['Viego', '52.7%']"
Caitlyn,"['Zeri', '53.6%']","['Aphelios', '52.7%']","['Xayah', '51.8%']","[""Kai'Sa"", '51.0%']","['Sivir', '51.0%']","['Samira', '50.9%']"
Tristana,"['Zeri', '53.5%']","['Yasuo', '53.3%']","[""Kai'Sa"", '51.5%']","['Seraphine', '51.2%']","['Ashe', '51.1%']","['Aphelios', '51.1%']"
LeBlanc,"['Hwei', '64.9%']","['Tristana', '55.1%']","['Veigar', '54.5%']","['Ziggs', '52.9%']","['Jayce', '52.7%']","['Azir', '52.2%']"
Garen,"['Gragas', '56.0%']","['Yone', '55.5%']","[""K'Sante"", '55.4%']","['Renekton', '55.0%']","['Jax', '54.0%']","['Sion', '54.0%']"
Pyke,"['Hwei', '67.3%']","['Karma', '55.8%']","['Ashe', '55.5%']","['Twitch', '55.0%']","['Lux', '54.3%']","['Pantheon', '54.1%']"
Udyr,"['Poppy', '59.1%']","['Shyvana', '56.0%']","['Diana', '55.8%']","['Elise', '55.8%']","['Wukong', '55.6%']","['Taliyah', '55.0%']"
Malzahar,"['Hwei', '65.3%']","['Ryze', '60.3%']","['Yasuo', '58.7%']","['Vladimir', '58.4%']","['LeBlanc', '57.6%']","['Yone', '56.9%']"
Kennen,"['Gragas', '58.9%']","['Warwick', '57.6%']","['Volibear', '57.2%']","['Yorick', '54.9%']","['Riven', '54.8%']","['Shen', '54.4%']"
Rek'Sai,"['Wukong', '59.2%']","['Vi', '56.9%']","['Gragas', '56.6%']","['Sejuani', '55.7%']","['Xin Zhao', '55.0%']","['Warwick', '55.0%']"
