championName,worstAgainst1,worstAgainst2,worstAgainst3,worstAgainst4,worstAgainst5,worstAgainst6
Renekton,"['Dr. Mundo', '42.6%']","['Warwick', '42.6%']","['Illaoi', '44.2%']","['Quinn', '44.6%']","['Malphite', '45.0%']","['Sylas', '45.0%']"
Bel'Veth,"['Rammus', '46.5%']","['Master Yi', '47.0%']","['Amumu', '47.9%']","['Taliyah', '48.3%']","['Ivern', '48.3%']","['Evelynn', '48.7%']"
Aphelios,"['Ziggs', '43.9%']","['Twitch', '44.4%']","['Seraphine', '44.8%']","['Ashe', '45.6%']","['Samira', '45.7%']","['Miss Fortune', '46.0%']"
Lucian,"['Ziggs', '48.3%']","[""Kog'Maw"", '48.4%']","['Jhin', '49.1%']","['Ashe', '49.1%']","['Twitch', '49.5%']","['Miss Fortune', '49.5%']"
Viego,"['Rammus', '43.2%']","['Karthus', '44.5%']","['Fiddlesticks', '44.5%']","['Zac', '45.5%']","['Ivern', '46.2%']","[""Bel'Veth"", '46.3%']"
Cassiopeia,"['Brand', '36.5%']","['Galio', '42.8%']","['Taliyah', '44.2%']","['Zoe', '44.6%']","['Viktor', '46.0%']","['Zed', '47.0%']"
Singed,"[""Cho'Gath"", '45.5%']","['Gangplank', '46.2%']","['Camille', '47.0%']","['Riven', '48.2%']","['Volibear', '48.8%']","['Dr. Mundo', '49.8%']"
Fizz,"['Galio', '46.2%']","['Kassadin', '47.1%']","['Sylas', '47.1%']","['Swain', '47.6%']","['Annie', '47.6%']","['Tristana', '48.0%']"
Vladimir,"['Malzahar', '41.2%']","['Anivia', '46.8%']","['Kassadin', '46.9%']","['Taliyah', '47.0%']","['Galio', '47.1%']","['Brand', '47.5%']"
Kog'Maw,"['Seraphine', '41.3%']","['Vayne', '47.0%']","['Jhin', '47.2%']","['Varus', '48.1%']","['Twitch', '48.3%']","['Ziggs', '48.5%']"
Sett,"['Warwick', '43.5%']","['Kayle', '45.4%']","['Kled', '45.6%']","['Poppy', '45.8%']","['Malphite', '45.9%']","['Camille', '46.4%']"
Sona,"['Taric', '46.5%']","['Rakan', '47.5%']","['Zilean', '48.0%']","['Bard', '48.2%']","['Soraka', '49.5%']","['Senna', '49.7%']"
Kayn,"['Fiddlesticks', '46.6%']","['Poppy', '47.4%']","['Master Yi', '47.9%']","['Ivern', '48.2%']","['Nocturne', '48.2%']","['Rammus', '48.3%']"
Sion,"['Riven', '41.0%']","['Gwen', '42.1%']","['Kled', '42.8%']","['Vayne', '42.9%']","['Fiora', '43.6%']","['Shen', '44.3%']"
Senna,"['Sylas', '46.7%']","['Blitzcrank', '47.9%']","['Xerath', '47.9%']","['Zyra', '48.5%']","['Neeko', '48.8%']","['Leona', '49.0%']"
